Qty,Item,Price
3,ELEGOO ESP32 Development Board (USB-C),$19.99
2,3.7V 1100mAh LiPo Battery,$17.99
1,Waterproof Ripstop Nylon Fabric,$17.99
1,SSD1306 128×64 OLED Display (5-pack),$14.99
1,ON/OFF Rocker Switch Kit,$6.39
1,1S LiPo USB Charger,$9.99
1,Silicone One-Way Check Valves,$8.99
1,White Cotton String (656 ft),$6.99
1,9g Micro Servo Motors (6-pack),$16.99
1,5mm LED Assortment,$9.89
1,Digital Multimeter,$9.98
1,Precision Screwdriver Kit,$8.99
1,Basswood Sheets (5-pack),$13.99
1,M3 Screw & Nut Kit,$9.99
1,Colored Push Button Kit,$6.49
1,N20 3.7–5V Coreless DC Motors (6-pack),$17.99
1,110V Adjustable Soldering Iron Kit,$13.99
1,JST-PH Connector Kit,$13.49
1,Breadboards + Jumper Wires Kit,$9.99
1,KY-023 Joystick Modules (6-pack),$9.99
1,24V Round Solenoids (2-pack),$14.99
