Qty	Item	Price	Price with Tax
1	Step Up Boost Converter	$7.99	$8.65
1	Greartisan DC 5V 25RPM N20 Metal Gear Motor	$15.99	$17.31
1	ELEGOO ESP32 Development Board (3-pack)	$19.99	$21.64
1	3.7V 3000mAh LiPo Battery (2-pack)	$17.99	$19.47
1	Waterproof Ripstop Nylon Fabric (3 yd)	$15.99	$17.31
1	20mm Rocker Switch	$6.39	$6.92
1	1S LiPo USB Charger	$9.99	$10.81
1	One-Way Check Valve Set (4-pack)	$8.99	$9.73
1	White Cotton String (200 m)	$6.99	$7.57
1	Micro Servo Kit (9 g)	$16.89	$18.28
1	Digital Multimeter	$9.98	$10.80
1	Basswood Sheets (12 pcs)	$13.99	$15.14
1	M2.5 Screw & Nut Kit	$9.99	$10.81
1	Push Button Assortment (20 pcs)	$6.49	$7.03
1	D2835 8520 Coreless DC Motors (4-pack)	$17.99	$19.47
1	60W Adjustable Soldering Iron Kit	$13.99	$15.14
1	Dupont Connector Kit	$15.49	$16.77
1	Breadboard Jumper Wire Kit	$9.99	$10.81
1	FC-23 Joystick Modules (5-pack)	$9.99	$10.81
2	Round Solenoid Electromagnet (2-pack)	$29.98	$32.45
2	Helium Tank 224 Liters(with shipping)	$111.18	$120.35
1	Electric Precision Screwdriver	$8.99	$9.73
Total	------------------------------------------------------------------------------	$368.27	$398.65
