Qty,Item,Price,Price with Tax,Link,,,,,,,,,,,,,,,,,,,,
1,Step Up Boost Converter,$7.99,$8.65,https://www.amazon.com/gp/product/B07L76KLRY/ref=ox_sc_act_title_3?smid=A1IU4FC9F8Y7P1&psc=1,,,,,,,,,,,,,,,,,,,,
1,Greartisan DC 5V 25RPM N20 Metal Gear Motor,$15.99,$17.31,https://www.amazon.com/gp/product/B07FVLXRBB/ref=ox_sc_act_title_4?smid=A18IHNL4DD28Y&psc=1,,,,,,,,,,,,,,,,,,,,
2,ELEGOO ESP32 Development Board (3-pack),$39.98,$43.28,https://www.amazon.com/gp/product/B0D8T53CQ5/ref=ox_sc_act_title_5?smid=A2WWHQ25ENKVJ1&psc=1,,,,,,,,,,,,,,,,,,,,
1,3.7V 3000mAh LiPo Battery (2-pack),$17.99,$19.47,https://www.amazon.com/gp/product/B0FH9BLZWB/ref=ox_sc_act_title_2?smid=A266G6703HYWEO&psc=1,,,,,,,,,,,,,,,,,,,,
1,Waterproof Ripstop Nylon Fabric (3 yd),$15.99,$17.31,https://www.amazon.com/gp/product/B0DSJ1LY4J/ref=ox_sc_act_title_6?smid=A3D4QSDK6XD85Z&psc=1,,,,,,,,,,,,,,,,,,,,
1,20mm Rocker Switch,$6.39,$6.92,https://www.amazon.com/gp/product/B07S1MV462/ref=ox_sc_act_title_7?smid=AVZNWT0O79W01&psc=1,,,,,,,,,,,,,,,,,,,,
1,1S LiPo USB Charger,$9.99,$10.81,https://www.amazon.com/gp/product/B0FMYRPMTZ/ref=ox_sc_act_title_8?smid=A11SJTWDPU325D&psc=1,,,,,,,,,,,,,,,,,,,,
1,One-Way Check Valve Set (4-pack),$8.99,$9.73,https://www.amazon.com/gp/product/B0CY2712T4/ref=ox_sc_act_title_9?smid=A2LU1U0B94UC2L&psc=1,,,,,,,,,,,,,,,,,,,,
1,White Cotton String (200 m),$6.99,$7.57,https://www.amazon.com/gp/product/B01ELCENW8/ref=ox_sc_act_title_10?smid=A2DRZ8U12WMWOV&psc=1,,,,,,,,,,,,,,,,,,,,
1,Micro Servo Kit (9 g),$16.89,$18.28,https://www.amazon.com/gp/product/B0CJRNFF6P/ref=ox_sc_act_title_11?smid=A23ZQFJGQ73FV0&psc=1,,,,,,,,,,,,,,,,,,,,
1,Digital Multimeter,$9.98,$10.80,https://www.amazon.com/gp/product/B0CXM242J1/ref=ox_sc_act_title_12?smid=A34MWHFZRUFCUF&psc=1,,,,,,,,,,,,,,,,,,,,
1,Basswood Sheets (12 pcs),$13.99,$15.14,https://www.amazon.com/gp/product/B0F3JJ3P8L/ref=ox_sc_act_title_13?smid=A3770S3WR2NZ39&psc=1,,,,,,,,,,,,,,,,,,,,
1,M2.5 Screw & Nut Kit,$9.99,$10.81,https://www.amazon.com/gp/product/B0BJVN748D/ref=ox_sc_act_title_14?smid=A2XXMW1BKOEL72&psc=1,,,,,,,,,,,,,,,,,,,,
1,Push Button Assortment (20 pcs),$6.49,$7.03,https://www.amazon.com/gp/product/B0BXKN4TY6/ref=ox_sc_act_title_15?smid=A2F4WL24P91UAV&psc=1,,,,,,,,,,,,,,,,,,,,
1,D2835 8520 Coreless DC Motors (4-pack),$17.99,$19.47,https://www.amazon.com/gp/product/B09XBBNNVR/ref=ox_sc_act_title_16?smid=A2SNA9AH12A511&psc=1,,,,,,,,,,,,,,,,,,,,
1,60W Adjustable Soldering Iron Kit,$13.99,$15.14,https://www.amazon.com/gp/product/B087767KNW/ref=ox_sc_act_title_17?smid=A19YGYI63H9AEE&psc=1,,,,,,,,,,,,,,,,,,,,
1,Dupont Connector Kit,$15.49,$16.77,https://www.amazon.com/gp/product/B08X6C7PZM/ref=ox_sc_act_title_18?smid=A12YM1PYCMRIKV&psc=1,,,,,,,,,,,,,,,,,,,,
1,Breadboard Jumper Wire Kit,$9.99,$10.81,https://www.amazon.com/gp/product/B08Y59P6D1/ref=ox_sc_act_title_19?smid=A2RFXKS6GNXFWP&psc=1,,,,,,,,,,,,,,,,,,,,
1,FC-23 Joystick Modules (5-pack),$9.99,$10.81,https://www.amazon.com/gp/product/B0D83FD3M8/ref=ox_sc_act_title_20?smid=A1NOQTMMT39TJ0&psc=1,,,,,,,,,,,,,,,,,,,,
4,Round Solenoid Electromagnet DC 5V 50N 11LB/5Kg,$29.16,$31.57,https://www.amazon.com/gp/product/B0F1YNQTFQ/ref=ox_sc_act_title_1?smid=A1THAZDOWP300U&psc=1,,,,,,,,,,,,,,,,,,,,
2,Helium Tank 224 Liters(with shipping),$111.18,$120.35,https://shopbvv.com/products/2-2l-he-balloon-m10-thread?variant=40605510565984,,,,,,,,,,,,,,,,,,,,
1,Electric Precision Screwdriver,$8.99,$9.73,https://www.amazon.com/gp/product/B0DT49Z67G/ref=ox_sc_act_title_2?smid=A3HKHUWLSF6TT5&psc=1,,,,,,,,,,,,,,,,,,,,
Total,------------------------------------------------------------------------------,$387.44,$419.40,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
